date,time_slot,csn,participant_id,group,num_conversations,total_duration,inference_confidence
2024-12-02,10:00,1,02122024_1012_01,T1 (inferred),1,0.009448000000000002,MEDIUM
2024-12-02,12:00,9,02122024_1217_12,T2/T3,1,23.0007965,
2024-12-02,12:00,14,02122024_1213_14,T1 (inferred),1,19.791956799999998,HIGH
2024-12-02,12:00,15,20643527_1200_15,T2/T3,1,15.030816399999999,
2024-12-02,12:15,1,20471918_1221_1,T2/T3,1,13.466890966666666,
2024-12-02,12:15,2,02122024_1215_02,T1 (inferred),1,18.648652116666664,HIGH
2024-12-02,12:15,3,02122024_1220_03,T1 (inferred),1,14.179387966666667,HIGH
2024-12-02,12:15,4,02122024_1218_04,T1 (inferred),1,17.251659033333333,HIGH
2024-12-02,12:15,5,01122024_1500_11,T2/T3,1,4.475634316666667,
2024-12-02,12:15,6,02122024_1222_06,T2/T3,1,0.007260733333333333,
2024-12-02,12:15,7,01122024_1215_7,T2/T3,1,14.823063416666667,
2024-12-02,12:15,8,02122024_1221_08,T1 (inferred),1,5.007256466666666,HIGH
2024-12-02,12:15,9,02122024_1200_9,T2/T3,1,8.194776216666666,
2024-12-02,12:15,10,01122024_1200_10,T2/T3,1,10.960678699999999,
2024-12-02,12:15,11,02122024_1200_11,T2/T3,1,9.010344383333335,
2024-12-02,12:15,17,02122024_1200_17,T2/T3,1,6.487933566666666,
2024-12-02,12:15,19,02122024_1217_19,T2/T3,1,13.784776166666667,
2024-12-02,12:15,20,02122024_1200_20,T2/T3,1,8.378653066666667,
2024-12-02,12:15,21,02122024_1219_21,T1 (inferred),1,16.2305417,HIGH
2024-12-02,12:30,13,02122024_1200_13,T2/T3,1,0.09902496666666667,
2024-12-03,10:00,9,03122024_1008_09,T1 (inferred),1,16.58745,HIGH
2024-12-03,10:00,20,03122024_1020_20,T2/T3,1,19.4253481,
2024-12-03,10:15,1,03122024_1015_01,T1 (inferred),1,17.79895978333333,HIGH
2024-12-03,10:15,2,03122024_1000_2,T2/T3,1,19.792059816666665,
2024-12-03,10:15,3,03122024_1024_03,T1 (inferred),1,13.41345085,HIGH
2024-12-03,10:15,5,03122024_1000_5,T2/T3,1,7.994412116666667,
2024-12-03,10:15,7,03122024_1025_07,T1 (inferred),1,11.463590483333332,HIGH
2024-12-03,10:15,8,03122024_1029_08,T1 (inferred),1,10.365613333333332,HIGH
2024-12-03,10:15,9,03122024_1000_12,T2/T3,1,11.657224833333334,
2024-12-03,10:15,9,03122024_1000_09,T2/T3,1,10.37124955,
2024-12-03,10:15,11,03122024_1023_11,T1 (inferred),1,20.8112537,HIGH
2024-12-03,10:15,13,03122024_1000_13,T2/T3,1,10.299892,
2024-12-03,10:15,14,20606627_1000_14,T2/T3,1,0.02202575,
2024-12-03,10:15,17,03122024_1000_17,T2/T3,1,10.592050050000001,
2024-12-03,10:15,19,03122024_1015_19,T2/T3,1,16.6976891,
2024-12-03,10:15,22,03122024_1000_22,T2/T3,1,13.614341783333334,
2024-12-03,10:30,6,03122024_1000_6,T2/T3,1,0.0102168,
2024-12-03,10:30,15,03122024_1033_15,T1 (inferred),1,7.026365466666666,HIGH
2024-12-03,10:30,16,03122024_1032_16,T2/T3,1,5.082406833333334,
2024-12-03,11:15,2,03122024_1120_02,T1 (inferred),1,10.614181716666668,HIGH
2024-12-03,11:30,2,03122024_1115_02,T2/T3,1,17.8629715,
2024-12-03,11:30,3,03122014_1131_3,T2/T3,1,20.695066016666665,
2024-12-03,11:30,4,03122024_1115_4,T2/T3,1,14.298775266666667,
2024-12-03,11:30,6,03122024_1135_06,T1 (inferred),1,18.57213725,HIGH
2024-12-03,11:30,7,03122024_1139_7,T2/T3,1,15.472833233333334,
2024-12-03,11:30,8,03122024_1138_8,T2/T3,1,13.10729005,
2024-12-03,11:30,9,03122024_1138_9,T2/T3,1,13.575850016666667,
2024-12-03,11:30,9,03122024_1143_12,T2/T3,1,12.15476465,
2024-12-03,11:30,10,02122024_1135_10,T2/T3,1,17.807589450000002,
2024-12-03,11:30,13,03122024_1115_13,T2/T3,1,13.329527916666667,
2024-12-03,11:30,14,03122024_1135_14,T2/T3,1,163.63754241666666,
2024-12-03,11:30,15,03122024_1115_15,T2/T3,1,23.829427283333334,
2024-12-03,11:30,16,03122024_1115_16,T2/T3,1,12.376221133333333,
2024-12-03,11:30,19,03122024_1140_19,T2/T3,1,10.6452814,
2024-12-03,11:30,20,03122024_1136_20,T1 (inferred),1,9.791921416666666,HIGH
2024-12-03,11:30,21,03122024_1115_21,T2/T3,1,15.29651375,
2024-12-03,11:30,22,03122024_1115_22,T2/T3,1,2.9632858,
2024-12-03,11:45,5,03122024_1152_05,T1 (inferred),1,0.010354799999999999,MEDIUM
2024-12-03,11:45,11,03122024_1115_11,T2/T3,1,34.11343496666667,
2024-12-03,11:45,17,20544082_1145_17,T2/T3,1,10.622575116666667,
2024-12-03,12:45,1,03122024_1250_01,T1 (inferred),1,15.451652566666667,HIGH
2024-12-03,12:45,2,03122024_1247_02,T1 (inferred),1,14.6893986,HIGH
2024-12-03,12:45,3,03122024_1230_3,T2/T3,1,15.10083835,
2024-12-03,12:45,4,03122024_1300_4,T2/T3,1,15.75605195,
2024-12-03,12:45,5,03122024_1252_05,T1 (inferred),1,12.896077766666668,HIGH
2024-12-03,12:45,6,03122024_1259_06,T1 (inferred),1,13.0704033,HIGH
2024-12-03,12:45,9,03122024_1230_12,T2/T3,1,9.871447866666667,
2024-12-03,12:45,10,03122024_1259_10,T1 (inferred),1,11.128504683333334,HIGH
2024-12-03,12:45,11,03122024_1230_11,T2/T3,1,9.931383816666665,
2024-12-03,12:45,13,03122024_1246_13,T1 (inferred),1,13.249606666666667,HIGH
2024-12-03,12:45,14,03122024_1259_14,T1 (inferred),1,4.6985920666666665,MEDIUM
2024-12-03,12:45,15,03122024_1230_15,T2/T3,1,16.241791933333335,
2024-12-03,12:45,16,03122024_1230_16,T2/T3,1,13.433180499999999,
2024-12-03,12:45,17,03122024_1247_17,T1 (inferred),1,0.008824833333333334,MEDIUM
2024-12-03,12:45,21,03122024_1249_21,T1 (inferred),1,11.744576333333333,HIGH
2024-12-03,13:00,1,03122024_1310_01,T1 (inferred),1,0.25357018333333337,MEDIUM
2024-12-03,13:00,7,03122024_1309_07,T1 (inferred),1,3.85526915,MEDIUM
2024-12-03,13:00,8,03122024_1230_8,T2/T3,1,10.417552650000001,
2024-12-03,13:00,9,03122024_1311_09,T1 (inferred),1,2.150516066666667,MEDIUM
2024-12-03,13:00,17,03122024_1230_17,T2/T3,1,12.069118333333334,
2024-12-03,13:00,18,03122024_1302_18,T2/T3,1,10.5890216,
2024-12-03,13:00,19,03122024_1230_19,T2/T3,1,8.402045016666667,
2024-12-03,13:00,20,03122024_1230_20,T2/T3,1,12.08031855,
2024-12-03,13:00,22,03122024_1305_22,T2/T3,1,9.593459183333332,
2024-12-03,13:45,1,03122024_1350_01,T1 (inferred),1,30.107783016666666,HIGH
2024-12-03,13:45,15,03122024_1357_15,T1 (inferred),1,17.9659446,HIGH
2024-12-03,13:45,20,03122024_1145_20,T2/T3,1,20.2979209,
2024-12-03,14:00,2,03122024_1500_11,T2/T3,1,15.037445283333334,
2024-12-03,14:00,4,03122024_1345_4,T2/T3,1,9.887088516666667,
2024-12-03,14:00,7,03122024_1345_07,T2/T3,1,13.01266005,
2024-12-03,14:00,9,03122024_1345_12,T2/T3,1,9.364575066666667,
2024-12-03,14:00,9,20662162_1345_9,T2/T3,1,31.049984283333334,
2024-12-03,14:00,11,03122024_1345_11,T2/T3,1,11.829848199999999,
2024-12-03,14:00,13,03122024_1345_13,T2/T3,1,7.980476716666667,
2024-12-03,14:00,16,03122024_1345_16,T2/T3,1,12.687741466666667,
2024-12-03,14:00,17,03122024_1345_17,T2/T3,1,16.119174083333334,
2024-12-03,14:00,18,03122024_1407_18,T1 (inferred),1,0.02466668333333333,MEDIUM
2024-12-03,14:00,19,03122024_1345_19,T2/T3,1,12.690065449999999,
2024-12-03,14:00,21,03122024_1406_21,T2/T3,1,10.984766166666667,
2024-12-03,14:00,22,03122024_1400_22,T1 (inferred),1,15.29483825,HIGH
2024-12-03,14:15,1,03122024_1428_01,T1 (inferred),1,1.2843530166666668,MEDIUM
2024-12-03,14:15,8,03122024_1423_08,T1 (inferred),1,68.28734948333334,HIGH
